Bus Name,Bus Type,Departure Time,Duration,Star Rating,Price,Seat Availability
NueGo,A/C Seater (2+2),09:00,01h 25m,4.1,212,42 Seats available
NueGo,A/C Seater (2+2),11:20,01h 25m,4.1,212,42 Seats available
City Travels,NON A/C Seater/ Sleeper (2+1),00:30,01h 00m,3.1,854,33 Seats available
AJ Xpress,A/C Seater / Sleeper (2+1),00:55,03h 50m,3.4,INR 500,42 Seats available
Sri Bala Tours and Travels,NON A/C Seater PushBack (2+2),01:00,02h 00m,3.3,INR 499,25 Seats available
RKT Tours and Travels,A/C Seater Push Back (2+2),01:15,02h 15m,3.3,600,36 Seats available
Royal Roadlinks,A/C Sleeper (2+1),21:25,01h 35m,4.4,600,22 Seats available
Essaar,A/C Sleeper (2+1),01:20,02h 25m,4.0,INR 649,28 Seats available
KP Road Service,A/C Sleeper (2+1),01:30,01h 30m,3.1,800,12 Seats available
Air Indiaa Travels,Non A/C Seater / Sleeper (2+1),01:30,02h 15m,4.0,INR 890,33 Seats available
Essaar,A/C Sleeper (2+1),01:30,01h 30m,3.1,INR 800,24 Seats available
Air Indiaa Travels,NON A/C Sleeper (2+1),01:30,02h 15m,3.8,INR 890,20 Seats available
Krish Travels,NON AC Seater / Sleeper 2+1,01:50,01h 40m,3.0,INR 550,26 Seats available
Sri Karpaga vinayaga Travels,A/C Sleeper (2+1),02:30,02h 00m,4.0,INR 499,18 Seats available
Essaar,A/C Sleeper (2+1),16:45,01h 45m,4.0,INR 650,33 Seats available
Essaar,NON A/C Sleeper (2+1),23:55,02h 05m,3.1,INR 619,N/A
City Travels,NON A/C Seater/ Sleeper (2+1),00:45,02h 35m,4.6,664,N/A
VRN Luxuryline,VE A/C Sleeper (2+1),00:45,02h 00m,3.1,INR 850,N/A
City Travels,NON A/C Semi Sleeper (2+2),01:30,02h 10m,3.1,569,N/A
City Travels,Non A/C Seater / Sleeper (2+1),02:00,01h 15m,N/A,569,N/A
